match,casa,empate,fora,casa_marca,ambos_marcam,fora_marca,1tempo_casa,1tempo_empate,1tempo_fora,placar_exato,num_gols_partida,num_gols_casa,num_gols_fora,placar_exato1t,placar_extato2t,2tempo_casa,2tempo_empate,2tempo_fora
Aves    Belenenses SAD     ,29,10,1.07,7.74,1.075,1.008,1.605,,2.39,1.76,,2.19,1.71,,2.13,1.92,,1.88
Iþrottafelag Reykjavikur    Asvellir     ,,,,,,,3.96,,1.25,1.16,,5.23,,,,,,
UMF Selfoss    Ungmennafelagið Snaefell     ,,,,,,,,,,,,,,,,,,
Smari    Ungmennafelag Njarðvíkur     ,41,13.6,1.03,10.2,1.01,,1.7,,2.15,1.82,,1.99,2.77,,1.42,2.06,,1.73
Stjarnan-KFG U19    Fylkir Ellidi U19     ,,,,,,,,,,,,,,,,,,
Throttur Reykjavík U19    Hafnarfjordur U19     ,,,,,,,1.985,,1.82,1.43,,2.82,5.29,,1.14,2.41,,1.54
Spartak+    Ajax+      3rd Place ,1.96,8.13,2.23,,,,1.93,,1.74,1.784,,2.03,1.87,,1.79,1.72,,2.12
Hoffenheim (Amateur)    Hannover (Amateur)     ,2.53,6.52,1.88,1.82,1.075,1.46,1.936,,1.864,2.23,,1.656,1.78,,2.04,1.79,,2.02
England (Amateur) Women    France (Amateur) Women      Final ,2.205,8.01,1.99,1.73,1.045,1.592,1.984,,1.82,2.005,,1.805,1.912,,1.885,1.775,,2.04
Holland (3x3)    Germany (3x3)     ,4.67,10,1.27,3.395,,1.152,1.856,,1.88,1.87,,1.87,1.905,,1.832,1.905,,1.832
Brazil (TSL)    Argentina (TSL)      4th Round ,2.545,9.61,1.71,1.925,1.048,1.456,1.875,,1.925,1.84,,1.965,1.93,,1.87,1.93,,1.87
Tottenham Hotspur (TSL)    Atletico Madrid (TSL)      4th Round ,2.16,6.41,2.16,1.616,1.08,1.616,2.02,,1.79,1.9,,1.9,2.07,,1.755,2.07,,1.755
Liverpool (Maestro)    Manchester City (Dias)     ,4.72,7.21,1.37,2.855,1.06,1.15,1.875,,1.925,1.99,,1.82,2.05,,1.77,1.888,,1.912
Spain (FEARGGWP)    Portugal (Flewless_phoenix)     ,,,,,,,,,,,,,,,,,,
France (SALAYYY)    Germany (Chellovekk)     ,,,,,,,,,,,,,,,,,,
Germany (Chellovekk)    Belgium (TAKA)     ,2.31,3.07,3.22,1.325,1.35,1.58,2.22,,1.66,1.64,,2.26,2.44,,1.53,1.46,,2.63
Chelsea    Napoli     ,1.97,4.43,2.97,1.37,1.19,1.785,1.99,,1.82,1.58,,2.38,2.12,,1.69,1.98,,1.79
Manchester United (Kray)    Liverpool (Upcake22)     ,,,,,,,,,,,,,,,,,,
Tottenham Hotspur (MeLToSiK)    Arsenal (labotryas)     ,,,,,,,,,,,,,,,,,,
Arsenal (labotryas)    Manchester United (Kray)     ,2.28,2.955,3.04,1.355,1.31,1.59,1.8,,2.01,1.7,,2.16,2.03,,1.75,2.5,,1.51
Manchester City (Arta)    Atletico Madrid (Zayn)     ,3.84,1.59,5.56,1.13,2.28,1.24,2.08,,1.75,1.62,,2.3,3.03,,1.36,3.87,,1.24
Bayern Munich (Archi)    Piemonte Calcio (HovHar)     ,,,,,,,,,,,,,,,,,,
Real Madrid (Dansel)    Barcelona (Alpha)     ,1.08,,,,,6.4,1.93,,1.87,1.47,,2.68,1.73,,2.06,1.65,,2.18
Bayer 04 Leverkusen (Lamdevilwalk)    Chelsea (Irvington)     ,,,,,,,,,,,,,,,,,,
Napoli (Dinototli)    Ajax (Fric)     ,,,,,,,,,,,,,,,,,,
Liverpool (cyber)    Newcastle United (cyber)     ,1.23,6.76,9.16,1.048,1.09,3.91,1.83,,1.98,1.79,,2.03,1.79,,1.98,1.46,,2.64
Gloriousmuka    JoaoVitorF11 (ESN)     ,2.85,3.5,2.25,1.58,1.264,1.38,1.87,,1.87,2.12,,1.67,,,,,,
Olympique Lyonnais Esports    Lille Esports     ,1.92,3.82,3.43,,,,1.77,,2.02,,,,,,,,,
Paris Saint-Germain Esports    Stade Rennais Esports     ,1.43,4.45,6.53,,,,1.77,,2.02,,,,,,,,,
Paris Saint-Germain Esports    Lille Esports     ,1.35,5.49,6.59,,,,1.86,,1.92,,,,,,,,,
VfL Wolfsburg (Aventon)    1. Koln (Specialist)     ,9.63,4.46,1.35,3.06,1.19,1.04,2.08,,1.75,1.49,,2.62,1.86,,1.9,1.73,,2.06
